NameofPP,TotalTime,TotalCost,TotalNodes
A Star,0.02486038,46,46
Dijkstra,0.3546219,2162,47
TRRT,79.67802,87.47231,177
TRRT,609.6271,78.63046,154
A Star,0.078125,20,20
Dijkstra,1.079712,420,21
A Star,0.09454346,52,52
Dijkstra,1.434204,2756,53
A Star,0.05968475,37,37
Dijkstra,0.8169746,1406,38
A Star,0.06363297,47,47
Dijkstra,0.7999077,2256,48
A Star,0.05651474,39,39
Dijkstra,0.7411709,1560,40
A Star,0.06552505,48,48
Dijkstra,0.7334442,2352,49
A Star,0.04922867,45,45
Dijkstra,0.5926857,2070,46
Dijkstra,0.5936794,2070,46
A Star,0.0659008,44,44
Dijkstra,0.8327732,1980,45
RRT,22.72753,76.98219,13
A Star,0.05563354,46,46
A Star,0.05375671,92,46
A Star,0.01851273,31,31
Dijkstra,0.2547855,1488,32
TRRT,22.00089,88.39529,288
A Star,0.04901123,46,46
Dijkstra,0.7118225,2162,47
Dijkstra,0.6739578,2162,47
A Star,0.06320763,48,48
Dijkstra,0.8594246,2352,49
RRT,20.91566,74.3058,8
Dijkstra,0.8440094,2352,49
RRT,43.64862,74.3058,9
